"","Reporter","Year","FAOGroup","FMI_Imp1"
"96","Argentina",2016,"Aquatic animals nei",0.562588981482369
"97","Argentina",2016,"Cephalopods",0.605424512047687
"98","Argentina",2016,"Crustaceans",0.524239049847227
"99","Argentina",2016,"Demersal fish",0.580012158617238
"100","Argentina",2016,"Freshwater & diadromous fish",0.567389300239367
"101","Argentina",2016,"Marine fish nei",0.405874797532083
"102","Argentina",2016,"Molluscs excl. cephalopods",0.570877865780799
"103","Argentina",2016,"Pelagic fish",0.521002294884471
"104","Argentina",2017,"Aquatic animals nei",0.561966172112145
"105","Argentina",2017,"Cephalopods",0.597970781916255
"106","Argentina",2017,"Crustaceans",0.51911574986155
"107","Argentina",2017,"Demersal fish",0.556263114837225
"108","Argentina",2017,"Freshwater & diadromous fish",0.562993604710929
"109","Argentina",2017,"Marine fish nei",0.408277716979128
"110","Argentina",2017,"Molluscs excl. cephalopods",0.570116924149404
"111","Argentina",2017,"Pelagic fish",0.528023481392905
"112","Australia",2012,"Aquatic animals nei",0.396939372474891
"113","Australia",2012,"Cephalopods",0.484161547169175
"114","Australia",2012,"Crustaceans",0.420316175071521
"115","Australia",2012,"Demersal fish",0.674206926860084
"116","Australia",2012,"Freshwater & diadromous fish",0.508704191644481
"117","Australia",2012,"Marine fish nei",0.490831813124144
"118","Australia",2012,"Molluscs excl. cephalopods",0.521417970918882
"119","Australia",2012,"Pelagic fish",0.471235396433263
"120","Australia",2013,"Aquatic animals nei",0.403300592951931
"121","Australia",2013,"Cephalopods",0.484166131629404
"122","Australia",2013,"Crustaceans",0.424163758751976
"123","Australia",2013,"Demersal fish",0.691344590371959
"124","Australia",2013,"Freshwater & diadromous fish",0.517765921944574
"125","Australia",2013,"Marine fish nei",0.488934341559966
"126","Australia",2013,"Molluscs excl. cephalopods",0.524061628255558
"127","Australia",2013,"Pelagic fish",0.475188489579063
"128","Australia",2014,"Aquatic animals nei",0.410951672445829
"129","Australia",2014,"Cephalopods",0.486458783192615
"130","Australia",2014,"Crustaceans",0.425340352264557
"131","Australia",2014,"Demersal fish",0.696717299709055
"132","Australia",2014,"Freshwater & diadromous fish",0.522258559650825
"133","Australia",2014,"Marine fish nei",0.484193757242694
"134","Australia",2014,"Molluscs excl. cephalopods",0.506232150037724
"135","Australia",2014,"Pelagic fish",0.474990962398828
"136","Australia",2015,"Aquatic animals nei",0.426459242341637
"137","Australia",2015,"Cephalopods",0.47629241762744
"138","Australia",2015,"Crustaceans",0.42247631245055
"139","Australia",2015,"Demersal fish",0.694773382940048
"140","Australia",2015,"Freshwater & diadromous fish",0.52134181488426
"141","Australia",2015,"Marine fish nei",0.489827568061326
"142","Australia",2015,"Molluscs excl. cephalopods",0.512040607370921
"143","Australia",2015,"Pelagic fish",0.475237106801439
"144","Australia",2016,"Aquatic animals nei",0.430777381851349
"145","Australia",2016,"Cephalopods",0.468941320544109
"146","Australia",2016,"Crustaceans",0.424003491014331
"147","Australia",2016,"Demersal fish",0.700127395894895
"148","Australia",2016,"Freshwater & diadromous fish",0.522128750031562
