HS6,ProductType,ConversionFactor,ConversionDesc,FAOGroup,Derivation,,,,,,
030244,"Fish; fresh or chilled, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, livers, roes, and other fish meat of heading 0304",1.285,"FAO Assumed; average frozen mackerel gutted/head on, gutted/head off",Pelagic fish,Est,,,,,,
030245,"Fish; fresh or chilled, jack and horse mackerel (Trachurus spp.), excluding fillets, livers, roes, and other fish meat of heading 0304",1.37,"FAO Assumed; average frozen jack and horse mackerel gutted/head on, gutted/head off",Pelagic fish,Est,,,,,,
030246,"Fish; fresh or chilled, cobia (Rachycentron canadum), excluding fillets, livers, roes, and other fish meat of heading 0304",1.29,FAO Assumed; frozen bonito gutted/head off,Pelagic fish,Est,,,,,,
030247,"Fish; fresh or chilled, swordfish (Xiphias gladius), excluding fillets, livers, roes, and other fish meat of heading 0304",1.31,FAO Assumed; frozen swordfish gutted/head off,Pelagic fish,Est,,,,,,
030249,"Fish; fresh or chilled, n.e.c. in item no. 0302.4, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",1.285714286,FAO Assumed; average of all frozen fish CFs,Marine fish nei,Est,,,,,,
030250,"Fish; cod (gadus morhua, gadus ogac, gadus macrocephalus), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.445,"FAO Assumed; average frozen cod gutted/head on, gutted/head off",Demersal fish,Est,,,,,,
030251,"Fish; fresh or chilled, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding fillets, livers, roes, and other fish meat of heading 0304",1.445,"FAO Assumed; average frozen cod gutted/head on, gutted/head off",Demersal fish,Est,,,,,,
030252,"Fish; fresh or chilled, haddock (Melanogrammus aeglefinus), excluding fillets, livers, roes, and other fish meat of heading 0304",1.375,"FAO Assumed; average frozen haddock gutted/head on, gutted/head off",Demersal fish,Est,,,,,,
030253,"Fish; fresh or chilled, coalfish (Pollachius virens), excluding fillets, livers, roes, and other fish meat of heading 0304",1.3,"FAO Assumed; average frozen saithe gutted/head on, gutted/head off",Demersal fish,Est,,,,,,
030254,"Fish; fresh or chilled, hake (Merluccius spp., Urophycis spp.), excluding fillets, livers, roes, and other fish meat of heading 0304",1.236666667,"FAO Assumed; average frozen hake dressed gutted/head on, dressed gutted/head off, whole gutted/head on",Demersal fish,Est,,,,,,
030255,"Fish; fresh or chilled, Alaska pollack (Theragra chalcogramma), excluding fillets, livers, roes, and other fish meat of heading 0304",2.17,FAO Assumed; frozen AK pollack dressed gutted/head off,Demersal fish,Est,,,,,,
030256,"Fish; fresh or chilled, blue whitings (Micromesistius poutassou, Micromesistius australis), excluding fillets, livers, roes, and other fish meat of heading 0304",1.412,FAO Assumed; average of all frozen gadidae CFs,Demersal fish,Est,,,,,,
030259,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, excluding fillets, livers, roes, and other fish meat of heading 0304",1.285714286,FAO Assumed; average of all frozen fish CFs,Marine fish nei,Est,,,,,,
030260,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, excluding fillets, livers, roes, and other fish meat of heading 0304",1.285714286,FAO Assumed; average of all frozen fish CFs,Marine fish nei,Est,,,,,,
030261,"Fish; sardines (sardina pilchardus, sardinops spp.), sardinella (sardinella spp.), brisling or sprats (sprattus sprattus), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.215,"FAO Assumed; average of frozen sardine gutted/head on, gutted/head off",Pelagic fish,Est,,,,,,
030262,"Fish; haddock (melanogrammus aeglefinus), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.375,"FAO Assumed; average of frozen haddock gutted/head on, gutted/head off",Pelagic fish,Est,,,,,,
030263,"Fish; coalfish (pollachius virens), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.3,"FAO Assumed; average frozen saithe gutted/head on, gutted/head off",Demersal fish,Est,,,,,,
030264,"Fish; mackerel (scomber scombrus, scomber australasicus, scomber japonicus), fresh of chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.285,"FAO Assumed; frozen mackerel gutted/head on, gutted/head off",Pelagic fish,Est,,,,,,
030265,"Fish; dogfish and other sharks, fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.55,"FAO Assumed; average of frozen shark gutted/head on, gutted/head off",Demersal fish,Est,,,,,,
030266,"Fish; eels (anguilla spp.), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.11,FAO Assumed; frozen eel gutted/head on,Freshwater & diadromous fish,Est,,,,,,
030267,"Fish; swordfish (Xiphias gladius), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.31,FAO Assumed; frozen swordfish gutted/head off,Pelagic fish,Est,,,,,,
030268,"Fish; toothfish (Dissostichus spp.), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.412,FAO Assumed; average of all frozen gadidae CFs,Demersal fish,Est,,,,,,
030269,"Fish; fresh or chilled, n.e.s. in heading no. 0302 (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.285714286,FAO Assumed; average of all frozen fish CFs,Marine fish nei,Est,,,,,,
030270,"Fish; livers and roes, fresh or chilled",20,FAO Waterman 2001 ratio for cod,Marine fish nei,Est,,,,,,
