Product,Product_Description
3021900,"03021900 Fresh Or Chilled Salmonidae (Excl. Trout Salmo Trutta, Oncorhynchus Mykiss, Oncorhynchus Clarki, Oncorhynchus Aguabonita, Oncorhynchus Gilae, Oncorhynchus Apache And Oncorhynchus Chrysogaster, Pacific Salmon Oncorhynchus Nerka, Oncorhynchus Gorbuscha, Onc"
3021902,03021902 Fresh Or Chilled Salmonidae (Excl. Trout; Pacific Salmon; Atlantic Salmon; Danube Salmon; Fillets And Other Meat Of Hs 0304 And Edible Fish Offal Of Hs 03029)
3027100,03027100 Fresh Or Chilled Tilapia Oreochromis Spp.
3027101,03027101 Tilapias (Oreochromis Spp)
3027200,"03027200 Fresh Or Chilled Catfish Pangasius Spp., Silurus Spp., Clarias Spp., Ictalurus Spp."
3027201,"03027201 Bagre O Pez Gato (Pangasius Spp., Silurus Spp., Clarias Spp., Ictalurus Spp.)"
3027210,03027210 Yellowtail Catfish Fresh Or Chilled Excl Livers & Roes
3027290,03027290 Other Catfish Fresh Or Chilled Excl Livers & Roes
3027300,"03027300 Fresh Or Chilled Carp Cyprinus Carpio, Carassius Carassius, Ctenopharyngodon Idellus, Hypophthalmichthys Spp., Cirrhinus Spp., Mylopharyngodon Piceus"
3027301,"03027301 Fresh Or Chilled Carp (For Full List Of Carp Spp., See Ahecc) (Excl. Fillets And Other Meat Of Hs 0304 And Edible Fish Offal Of Hs 03029)"
3027319,"03027319 Fish And Crustaceans (Molluscs), Molluscs And Other Invertebrates Rules"
3027390,03027390 Other Carp Fresh Or Chilled Excl Livers & Roes
3027900,"03027900 Fresh Or Chilled, Nile Perch Lates Niloticus And Snakeheads Channa Spp."
3027901,03027901 Fresh Or Chilled Nile Perch (Lates Niloticus) And Snakeheads (Channa Spp.) (Excl. Fillets And Other Meat Of Hs 0304 And Edible Fish Offal Of Hs 03029)
3027910,03027910 Nile Princess (Lates Niloticus)
3027999,03027999 Los Dems
3028400,03028400 Fresh Or Chilled Seabass (Dicentrarchus Spp.) (Excl. Fillets And Other Meat Of Hs 0304 And Livers And Roes)
3028401,03028401 Rbalos (Dicentrarchus Spp)
3028410,03028410 Fresh Or Chilled European Sea Bass Dicentrarchus Labrax
3028500,03028500 Fresh Or Chilled Seabream (Sparidae) (Excl. Fillets And Other Meat Of Hs 0304 And Livers And Roes)
3028520,03028520 Gilthead Seabream (Sparus Auratus)
3028530,03028530 Fresh Or Chilled Gilt-Head Sea Bream Sparus Aurata
3028902,"03028902 Yellow Croaker (Pseudosicaena), Fresh Or Chilled, Excluding Fillets, Livers And Roes"
3028920,03028920 Fresh Or Chilled Yellow Croaker
3028922,03028922 Rohu Catla & Swamp Barb Fresh Or Chilled Excl Livers & Roes
3028928,03028928 Wallago & Giant River Catfish Fresh Or Chilled Excl Livers & Roes
3028970,03028970 Meros (Epinephelus Guaza)
3029121,03029121 Fresh Salmon Roes And Trout Roes
3029129,03029129 Fresh Roes Other Than Salmon Roes And Trout Roes
3031000,03031000 Frozen Pacific Salmon 'Oncorhynchus Spp.'
3031100,03031100 Frozen Sockeye Salmon [Red Salmon] Oncorhynchus Nerka
3031101,03031101 Salmones rojos (Oncorhynchus nerka)
3031120,03031120 Descabezados Y Eviscerados (Hg+)
3031130,"03031130 Medallones (Rodajas, Steak)"
3031140,"03031140 Belly (Harami, Harasu)*"
3031200,03031200 Frozen Pacific Salmon (Excl. Sockeye Salmon Red Salmon)
3031201,"03031201 Los Dems Salmones Del Pacfico (Oncorhynchus Gorbuscha, Oncorhynchus Keta, Oncorhynchus Tschawytscha, Oncorhynchus Kisutch, Oncorhynchus Masou Y Oncorhynchus Rhodurus)"
3031210,03031210 Enteros
3031220,03031220 Descabezados Y Eviscerados (Hg)
3031230,"03031230 Medallones (Rodajas, Steak)"
3031240,"03031240 Belly (Harami, Harasu)"
3031290,03031290 Los Dems
3031300,"03031300 Frozen, Atlantic Salmon Salmo Salar And Danube Salmon Hucho Hucho"
3031301,"03031301 Whole, Frozen Farmed Atlantic Salmon"
3031310,03031310 Enteros
3031311,"03031311 Subgroup Of:030313 Frozen, Atlantic Salmon Salmo Salar And Danube Salmon Hucho Hucho"
3031319,"03031319 Subgroup Of:030313 Frozen, Atlantic Salmon Salmo Salar And Danube Salmon Hucho Hucho"
3031320,03031320 Descabezados Y Eviscerados (Hg)
3031330,"03031330 Medallones (Rodajas, Steak)"
3031340,"03031340 Belly (Harami, Harasu)"
3031390,03031390 Los Dems
