"","Country","FMIc1","FMIc2","FMIc3","FMIc3_flp","FMIi","FMIp","Exports","Imports","Production","FoodSupply"
"1","Algeria",0.589882924413044,0.602711132037616,0.575060959583898,0.586907033100826,0.533198999142714,0.624891929,12092.15,379031.99,601248,967885.82
"2","Australia",0.642614189016458,0.744293856893893,0.612512800954,0.657212502518611,0.542928572886097,0.815911793,367093.86,2830087.31,1545651,3796719.49
"3","Austria",0.537826218859001,0.621735665730763,0.536238823163827,0.59245716086196,0.528760685181309,0.653110160843021,120162.17,820545.61,22651,724001.56
"4","Bahrain",0.454336198694926,0.449311714111562,0.452954372370686,0.462970846063803,0.449601650910137,0.449194033,75993.29,106105.95,102943,126057.06
"5","Belarus",0.74667875808833,0.828652075990024,0.740200779234495,0.797711569625921,0.738003913462106,0.865177800681336,592910.99,1295247.66,75148,780817.96
"6","Belgium",0.575856325274385,0.63722184483707,0.575957463226547,0.623584376600966,0.561245124162588,0.658662107,1676678.51,3186114.93,154358,1663777.21
"7","Bolivia",0.557262598206468,0.516663613523361,0.57142507899542,0.579753785824913,0.595669233943579,0.485511879855381,0,103221.05,55255,158473.04
"8","Botswana",0.717065762928285,0.761332489036992,0.713949401952602,0.754735212111885,0.715244109212987,0.78060158625506,6782.86,53074.88,2184,48458.99
"9","Brazil",0.362801687032939,0.330144765615761,0.419553766211302,0.460957958209543,0.556237703720724,0.251,270598.75,4481273.77,7741705,11484845.52
"10","Bulgaria",0.675465224760547,0.81231783903879,0.648389736812874,0.713909890546134,0.600505902386973,0.892685779,113553.95,283763.55,128278,291450.03
"11","Canada",0.743607744421105,0.773058508933369,0.701177121845375,0.703150417079579,0.593313943800109,0.834,4896278.97,3895542.53,6181096,4877815.91
"12","Chile",0.683189895290264,0.651476304442393,0.628118810259139,0.587725163285352,0.504348830760037,0.706,8375316.32,707159.85,18324875,1356704.42
"13","China",0.385955492812871,0.412507506853528,0.429428279333474,0.489821123298447,0.68699995745344,0.37,46736749.22,22414371.78,351362676,309389760.7
"14","Colombia",0.523892485775941,0.522695924908667,0.516568952027682,0.52567845906409,0.523428221940683,0.531008033,391951.01,1369376.93,1039709,2017134.91
"15","Costa Rica",0.645892870419256,0.701688392730149,0.629558142525308,0.663034954236727,0.591582649741714,0.74076962,224271.28,423289.42,241146,423261.21
